Registration Number,Annual Turnover
20001,25206687
20002,34980985
20003,30486979
20004,37483051
20005,50245183
20006,31621659
20007,25817941
20008,23482029
20009,25870423
20010,25141236
20011,23891162
20012,34167926
20013,31357995
20014,30646937
20015,16562811
20016,32010881
20017,38904166
20018,15383859
20019,39009177
20020,25575001
20021,13831534
20022,35505945
20023,27557734
20024,18647322
20025,30847908
20026,25469105
20027,39155905
20028,31925683
20029,28916831
20030,26340893
20031,33868394
20032,38896074
20033,25083382
20034,40628234
20035,23987212
20036,35322681
20037,36325558
20038,32000078
20039,21735021
20040,32618922
20041,24635615
20042,21372775
20043,29949120
20044,21710566
20045,39471814
20046,24334896
20047,27221466
20048,35127010
20049,32693916
20050,37478961
20051,34277911
20052,43695399
20053,18277536
20054,17500706
20055,33776137
20056,35928306
20057,19404196
20058,34385883
20059,39965413
20060,28691175
20061,16656206
20062,27464102
20063,37314449
20064,44377179
20065,36731072
20066,43591251
20067,19786364
20068,18793528
20069,25766368
20070,51370085
20071,24598198
20072,11632000
20073,21187211
20074,26552040
20075,25160136
20076,34258001
20077,40831463
20078,33530600
20079,34013562
20080,28635047
20081,30967395
20082,36309192
20083,29616748
20084,36587466
20085,35505761
20086,29216258
20087,21411086
20088,34998341
20089,39984376
20090,31599686
20091,33062904
20092,14322189
20093,37515365
20094,18074429
20095,35405045
20096,37855554
20097,23658579
20098,29016457
20099,30949019
20100,25573918
20101,50180171
20102,29444225
20103,33062821
20104,27587329
20105,44967687
20106,37209748
20107,36397414
20108,28546102
20109,26190324
20110,26026129
20111,21827136
20112,31831577
20113,22235776
20114,43841396
20115,37037135
20116,41771255
20117,20334897
20118,38711577
20119,27586644
20120,35293722
20121,16419965
20122,36821447
20123,35146731
20124,21079991
20125,54559285
20126,24388946
20127,21064774
20128,18275248
20129,29682665
20130,32110208
20131,24899540
20132,14343658
20133,21556657
20134,36430716
20135,30065918
20136,25329930
20137,38315623
20138,27167585
20139,28952903
20140,26305106
20141,42055441
20142,22693065
20143,27265707
20144,19452927
20145,28611189
20146,31773066
20147,53750924
20148,33605504
20149,29478348
20150,23638724
20151,33674738
20152,17799958
20153,36927280
20154,29063208
20155,36192276
20156,21935152
20157,31039876
20158,36241983
20159,37077090
20160,32064234
20161,31132066
20162,30171690
20163,34419598
20164,43185207
20165,27754995
20166,23102416
20167,19690055
20168,25618186
20169,32233252
20170,23051343
20171,40800515
20172,35367506
20173,25381387
20174,40778373
20175,31157102
20176,30733390
20177,32623945
20178,23864144
20179,21527876
20180,34046073
20181,43915550
20182,43913502
20183,22473649
20184,32490123
20185,28465657
20186,29564506
20187,24780386
20188,20818420
20189,33577560
20190,40435917
20191,19470349
20192,21892393
20193,34048971
20194,37295031
20195,23914414
20196,26663565
20197,33265156
20198,16908174
20199,23721821
20200,42220362
20201,30167453
20202,35100829
20203,23874418
20204,26678280
20205,20147033
20206,45851018
20207,34198649
20208,30495823
20209,31909736
20210,22995764
20211,22393057
20212,33888531
20213,39663908
20214,30163514
20215,20943558
20216,21196398
20217,32095135
